[System: 192.168.1.59] ERROR | 11-11-2025 13:41:22.128 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:41:36.818 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:41:36.818 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:41:36.818 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:41:36.896 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:42:23.086 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:42:23.086 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:42:23.086 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:42:23.133 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:42:37.825 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:42:37.825 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:42:37.825 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:42:37.919 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:43:24.082 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:43:24.082 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:43:24.082 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:43:24.145 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:43:38.823 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:43:38.823 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:43:38.823 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:43:38.901 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:44:25.066 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:44:25.082 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:44:25.082 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:44:25.113 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:44:39.816 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:44:39.816 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:44:39.816 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:44:39.910 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:45:26.082 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:45:26.082 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:45:26.082 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:45:26.129 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:45:40.842 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:45:40.858 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] ERROR | 11-11-2025 13:45:40.889 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:45:40.889 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:45:40.905 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:45:40.905 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:45:40.983 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:46:17.167 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] ERROR | 11-11-2025 13:46:17.183 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:46:27.062 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:46:27.078 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:46:27.078 | Common:: DecodeBase64 START
[System: 192.168.1.59] ERROR | 11-11-2025 13:46:27.125 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.79] INFO | 11-11-2025 13:46:41.803 | Common:: DecodeBase64 START
[System: 192.168.1.79] INFO | 11-11-2025 13:46:41.803 | Common:: deCodeLevel1 START
[System: 192.168.1.79] INFO | 11-11-2025 13:46:41.803 | Common:: DecodeBase64 START
[System: 192.168.1.79] ERROR | 11-11-2025 13:46:41.896 | ExecuteAsync: HttpStatusCode.Unauthorized=>Unauthorizedresponse.StatusCode=>OK
[System: 192.168.1.59] INFO | 11-11-2025 13:47:28.074 | Common:: DecodeBase64 START
[System: 192.168.1.59] INFO | 11-11-2025 13:47:28.074 | Common:: deCodeLevel1 START
[System: 192.168.1.59] INFO | 11-11-2025 13:47:28.074 | Common:: DecodeBase64 START
